video_id,video_title,video_length,caption_track,lines,txt_bytes,srt_bytes,srt_cues,seconds_to_result,measured_on
jNQXAC9IVRw,Me at the zoo,0:19,English,6,265,415,6,12.3,2026-09-17
kJQP7kiw5Fk,Despacito,4:42,English,90,4087,6418,90,1.1,2026-09-17
kJQP7kiw5Fk,Despacito,4:42,Spanish,91,4107,6464,91,1.0,2026-09-17
Ks-_Mh1QhMc,Your Body Language May Shape Who You Are (TED),21:03,English,428,23528,34976,428,22.4,2026-09-17
